== Alignment Results (odd-one-out accuracy) ==

[distance=cosine] file=/home/maxvonk/diffusion-alignment/things_playground/things_data/alignment.pkl
  source | model | module | acc
  diffusion | diffusion_runwayml/stable-diffusion-v1-5_1 | down_blocks.0.resnets.1 | 0.3830
  diffusion | diffusion_runwayml/stable-diffusion-v1-5_1 | down_blocks.1.resnets.1 | 0.3979
  diffusion | diffusion_runwayml/stable-diffusion-v1-5_1 | down_blocks.2.resnets.1 | 0.4300
  diffusion | diffusion_runwayml/stable-diffusion-v1-5_1 | down_blocks.3.resnets.1 | 0.4330
  diffusion | diffusion_runwayml/stable-diffusion-v1-5_1 | mid_block | 0.4387
  diffusion | diffusion_runwayml/stable-diffusion-v1-5_1 | up_blocks.0.resnets.1 | 0.4182
  diffusion | diffusion_runwayml/stable-diffusion-v1-5_1 | up_blocks.1.resnets.1 | 0.4484
  diffusion | diffusion_runwayml/stable-diffusion-v1-5_1 | up_blocks.2.resnets.1 | 0.4038
  diffusion | diffusion_runwayml/stable-diffusion-v1-5_1 | up_blocks.3.resnets.1 | 0.3823
  diffusion | diffusion_runwayml/stable-diffusion-v1-5_10 | down_blocks.0.resnets.1 | 0.3831
  diffusion | diffusion_runwayml/stable-diffusion-v1-5_10 | down_blocks.1.resnets.1 | 0.3970
  diffusion | diffusion_runwayml/stable-diffusion-v1-5_10 | down_blocks.2.resnets.1 | 0.4374
  diffusion | diffusion_runwayml/stable-diffusion-v1-5_10 | down_blocks.3.resnets.1 | 0.4401
  diffusion | diffusion_runwayml/stable-diffusion-v1-5_10 | mid_block | 0.4417
  diffusion | diffusion_runwayml/stable-diffusion-v1-5_10 | up_blocks.0.resnets.1 | 0.4233
  diffusion | diffusion_runwayml/stable-diffusion-v1-5_10 | up_blocks.1.resnets.1 | 0.4531
  diffusion | diffusion_runwayml/stable-diffusion-v1-5_10 | up_blocks.2.resnets.1 | 0.4092
  diffusion | diffusion_runwayml/stable-diffusion-v1-5_10 | up_blocks.3.resnets.1 | 0.3859
  diffusion | diffusion_runwayml/stable-diffusion-v1-5_20 | down_blocks.0.resnets.1 | 0.3827
  diffusion | diffusion_runwayml/stable-diffusion-v1-5_20 | down_blocks.1.resnets.1 | 0.3953
  diffusion | diffusion_runwayml/stable-diffusion-v1-5_20 | mid_block | 0.4429
  diffusion | diffusion_runwayml/stable-diffusion-v1-5_20 | up_blocks.0.resnets.1 | 0.4257
  diffusion | diffusion_runwayml/stable-diffusion-v1-5_20 | up_blocks.1.resnets.1 | 0.4531
