block,t10,t50,t80
0,0.386100,0.376100,0.369400
1,0.385400,0.379600,0.372500
2,0.385100,0.380000,0.373900
3,0.384600,0.381900,0.376100
4,0.384900,0.385500,0.379300
5,0.387900,0.384900,0.380300
6,0.387700,0.388200,0.385500
7,0.390400,0.393200,0.387200
8,0.398600,0.404600,0.389700
9,0.397300,0.411000,0.394000
10,0.404300,0.421800,0.393700
11,0.402600,0.415700,0.393000
12,0.405700,0.421300,0.396100
13,0.405200,0.417000,0.390600
14,0.403200,0.415100,0.384100
15,0.396300,0.404600,0.382600
16,0.394600,0.399800,0.381600
17,0.394000,0.396100,0.379800
18,0.389200,0.394800,0.376100
19,0.387900,0.388500,0.367200
20,0.387200,0.391200,0.370900
21,0.387500,0.391200,0.375300
22,0.386800,0.390600,0.385500
23,0.384400,0.392700,0.383000
