block,t10,t50,t80
0,0.386000,0.376000,0.369600
1,0.385300,0.379900,0.373400
2,0.385100,0.380300,0.375000
3,0.384500,0.381600,0.377200
4,0.385000,0.385200,0.381600
5,0.387800,0.385100,0.385500
6,0.387900,0.389100,0.391800
7,0.390700,0.395300,0.396300
8,0.398900,0.407800,0.402800
9,0.397900,0.414600,0.410500
10,0.404900,0.426200,0.411400
11,0.403600,0.420500,0.412800
12,0.406100,0.426300,0.413600
13,0.405900,0.421000,0.406200
14,0.403300,0.418100,0.395800
15,0.396500,0.406300,0.392700
16,0.394700,0.402100,0.390100
17,0.394200,0.395300,0.385900
18,0.389300,0.394200,0.381500
19,0.388200,0.388900,0.372600
20,0.387500,0.391600,0.376000
21,0.387900,0.391700,0.379800
22,0.387000,0.390600,0.385200
23,0.384300,0.392000,0.388000
