block,t10,t50,t80
0,0.386000,0.376200,0.369600
1,0.385300,0.379700,0.372700
2,0.385200,0.380500,0.375000
3,0.384500,0.381700,0.376700
4,0.384900,0.385200,0.380700
5,0.387800,0.384900,0.384300
6,0.387800,0.389100,0.390700
7,0.390500,0.395100,0.395800
8,0.398400,0.407700,0.402800
9,0.397500,0.414500,0.411300
10,0.404300,0.425700,0.411300
11,0.402800,0.420900,0.412800
12,0.405700,0.425900,0.413500
13,0.405500,0.421000,0.405000
14,0.402900,0.417700,
15,0.396300,0.406100,0.390500
16,0.394700,0.400800,0.388600
17,0.394100,0.395700,0.384700
18,0.389400,0.394900,0.380800
19,0.388200,0.389500,0.372100
20,0.387400,0.392200,0.375500
21,0.387800,0.391900,0.379300
22,0.386900,0.391200,0.383800
23,0.384400,0.392800,0.387100
