# metric,probing-cv-ooo
block,t10,t20,t50,t80
0,0.447400,,0.445800,0.627500
1,0.474900,,0.421300,0.506400
2,0.443400,,0.502900,0.515600
3,0.497200,,0.514500,0.505200
4,0.500500,,0.507200,0.545300
5,0.508200,,0.529100,0.542400
6,0.514200,,0.530200,0.543500
7,0.517700,,0.526100,0.506800
8,0.527500,0.510500,0.525300,0.499600
9,0.522400,,,0.506600
10,0.521600,,0.518200,0.523300
11,0.517800,,0.534100,0.493100
12,0.507800,,0.529500,0.524300
13,0.490500,,0.520000,
14,0.494800,,0.512300,0.522000
15,0.493400,,0.505700,0.493000
16,0.495200,,0.498000,0.430500
17,0.481000,,0.498900,0.503600
18,0.484000,,0.480700,0.506200
19,0.471900,,0.497700,0.483600
20,0.476800,,0.485100,0.477700
21,0.472500,,0.481200,0.480000
22,0.467600,,0.459600,0.420100
23,0.457800,,0.466100,0.472700
