# metric,probing-cv-ooo
block,t10,t50,t80
0,0.430500,0.445800,0.627500
1,0.474900,0.484600,0.490500
2,0.480300,0.489000,0.490700
3,0.497200,0.503900,0.505200
4,0.500500,0.507200,0.513700
5,0.509900,0.516700,0.514300
6,,0.516000,0.511300
7,0.517700,0.526100,0.506800
8,0.518400,0.525300,0.499600
9,0.517400,,0.506600
10,0.521600,0.518200,0.494600
11,0.515900,0.515500,0.493100
12,0.507800,0.516700,0.498100
13,0.508500,0.520000,
14,0.494800,0.512300,0.499700
15,0.493400,0.505700,0.493000
16,0.486200,0.498000,0.488500
17,0.481000,0.498900,0.487800
18,0.484000,0.498800,0.489400
19,0.471900,0.490600,0.483600
20,0.465000,0.478400,0.468500
21,0.474700,0.481200,0.462000
22,0.464800,0.459600,0.457800
23,0.457800,0.466100,0.457900
