# metric,probing-cv-ooo
block,t10,t50,t80
0,0.447400,0.451900,0.646600
1,0.478300,0.488900,0.506400
2,0.490300,0.502900,0.515600
3,0.495900,0.514500,0.532300
4,0.502500,0.520100,0.545300
5,0.508200,0.529100,0.542400
6,0.514200,0.530200,0.543500
7,0.522400,0.540500,0.541500
8,0.527500,0.537700,0.529700
9,0.522400,0.544300,0.527900
10,0.526500,0.531000,0.523300
11,0.517800,0.534100,0.517500
12,0.515400,0.529500,0.524300
13,0.512600,0.531100,0.524800
14,0.503900,0.527200,0.522000
15,0.492900,0.513600,0.515300
16,0.495200,0.511000,0.512200
17,0.482500,0.505000,0.503600
18,0.473900,0.505600,0.506200
19,0.478900,0.497700,0.500800
20,0.476800,0.485100,0.477700
21,0.472500,0.480600,0.480000
22,0.467600,0.468400,0.473800
23,0.466300,0.475800,0.472700
